THCIC_ID	PROVIDER_NAME	FAC_TEACHING_IND	FAC_PSYCH_IND	FAC_REHAB_IND	FAC_ACUTE_CARE_IND	FAC_SNF_IND	FAC_LONG_TERM_AC_IND	FAC_OTHER_LTC_IND	FAC_PEDS_IND	
000100	Austin State Hospital		X						
000101	Big Spring State Hospital		X						
000102	UT Medical Branch Hospital	A		X	X				X
000104	Rio Grande State Center		X						
000105	UT MD Anderson Cancer Center	A			X				
000106	Kerrville State Hospital		X						
000107	Rusk State Hospital		X						
000108	Texas Center for Infectious Disease						X		
000110	San Antonio State Hospital		X						
000111	Terrell State Hospital		X						
000112	UT Health Center-Tyler	X			X				
000114	North Texas State Hospital		X						
000115	Harris County Psychiatric Center		X						
000117	Waco Center for Youth		X						
000118	El Paso Psychiatric Center		X						
001000	Baptist St Anthonys Health System-Baptist Campus			X	X				X
002001	St Joseph Regional Health Center	X			X				
006000	Matagorda Regional Medical Center				X				X
006001	Matagorda Regional Medical Center		X	X		X			
007000	Womans Hospital-Texas								
008001	Baylor Medical Center at Uptown				X				
013001	Grace Medical Center		X		X				X
014000	Columbus Community Hospital			X	X	X			X
019000	Valley Regional Medical Center			X	X	X			X
020000	Good Shepherd Medical Center-Marshall				X				
023000	Yoakum Community Hospital			X	X	X			
026000	Childress Regional Medical Center				X				
027000	Baylor Medical Center-Garland			X	X	X			
028000	Kindred Hospital-Dallas						X		
029000	Good Shepherd Medical Center				X				
030000	Doctors Hospital-Tidwell			X	X				X
031001	Allegiance Specialty Hospital-Kilgore		X		X				
034000	Palo Pinto General Hospital				X				
035000	St Davids Hospital				X				
038001	CHRISTUS Jasper Memorial Hospital				X				
040000	Providence Health Center				X				X
041000	Madison St Joseph Health Center				X	X			
042000	Baylor Medical Center at Carrollton				X				
044000	Scott & White Hospital Taylor			X	X	X			
047000	Huguley Memorial Medical Center		X		X				X
049000	Coleman County Medical Center				X				
056000	San Angelo Community Medical Center		X	X	X				X
058000	Brownwood Regional Medical Center			X	X	X			X
061000	Huntsville Memorial Hospital				X		X		
062000	Winkler County Memorial Hospital				X				
063000	Uvalde Memorial Hospital				X				
064000	Citizens Medical Center				X				
066000	Scott & White Hospital-Brenham			X	X	X			X
071000	College Station Medical Center				X				
072000	Memorial Medical Center-San Augustine				X				
075000	Mitchell County Hospital			X	X	X			
076000	Tomball Regional Medical Center		X	X	X	X			
081001	Mission Trail Baptist Hospital				X				X
085000	Hunt Regional Medical Center Greenville				X	X			X
087000	Hunt Regional Community Hospital				X				
089001	Liberty-Dayton Regional Medical Center				X				
091001	Abilene Regional Medical Center				X	X			X
095002	Paris Regional Medical Center South Campus	X	X	X	X	X		X	
100076	Heritage Park Surgical Hospital				X				
100082	Continuum Rehabilitation Hospital North Texas			X					
100084	Sundance Hospital		X						
100087	Montgomery County Mental Health Treatment Facility		X						
100093	Baylor Institute for Rehab Frisco			X					
106001	Red River Regional Hospital				X	X			
106100	Audubon Behavioral Healthcare of Longview		X						
107100	Audubon Behavioral Healthcare of Lufkin		X						
108000	Cleveland Regional Medical Center				X				
109000	Covenant Medical Center-Lakeside				X				
112100	Healthsouth Rehabilitation Hospital of Cypress			X					
114001	Baptist Medical Center				X				
114100	Lone Star Behavioral Health Cypress		X						
115100	Texas General Hospital				X				
117000	Texas Childrens Hospital	A							C
117002	Texas Childrens Hospital West Campus								X
117100	Texas Childrens Hospital-Pavilion for Women								
118000	St Lukes Episcopal Hospital	A		X	X				
119000	Memorial Hermann Southeast Hospital			X	X				X
121000	Baptist Orange Hospital				X				X
124000	Methodist Hospital	A	X	X	X	X			
124100	Warm Springs Specialty Hospital New Braunfels						X		
126000	Angleton Danbury Medical Center				X				
127000	Mid-Jefferson Extended Care Hospital						X		
129000	Memorial Medical Center East Texas		X	X	X	X			X
130000	Providence Memorial Hospital			X	X				C
134001	Northeast Baptist Hospital				X				X
136000	Schleicher County Medical Center				X				
139000	Culberson Hospital				X				
140002	Edinburg Regional Medical Center			X	X				X
141000	Navarro Regional Hospital				X				
142000	Methodist Charlton Medical Center	X			X				
143000	Childrens Medical Center-Dallas	A	X	X	X				C
143001	Childrens Medical Center Legacy	X	X	X					X
144000	Wadley Regional Medical Center				X				X
145000	University Medical Center	A		X	X	X			X
146000	Covenant Hospital-Plainview		X		X				
147000	Lillian M Hudspeth Memorial Hospital				X				
154000	Methodist Hospital			X	X				C
154001	Methodist Specialty & Transplant Hospital		X	X	X				
154002	Northeast Methodist Hospital				X				
154003	Methodist Texsan Hospital				X				
155000	Guadalupe Regional Medical Center				X				
158000	University Hospital	A	X	X	X				X
164000	TIRR Memorial Hermann			X	X				
168000	Shannon West Texas Memorial Hospital				X				
172000	Memorial Hermann Northwest Hospital			X	X				X
178000	Sweeny Community Hospital				X	X			
180000	Las Palmas Medical Center				X				
181000	Medical Center Hospital	X			X		X		
182000	Texas Health Harris Methodist HEB		X	X	X				
185000	East Texas Medical Center-Crockett				X				X
195000	Collingsworth General Hospital				X	X			
199000	Memorial Hospital				X				
205000	Kimble Hospital				X				
206003	Select Specialty Hospital-Houston Heights						X		
206004	Select Specialty Hospital-Houston West						X		
206005	Select Specialty Hospital-Houston Medical Center						X		
207001	Laredo Medical Center				X				
212000	Clear Lake Regional Medical Center				X				
214000	Medical Center-Plano	X			X				
216001	CHRISTUS Spohn Hospital-Kleberg				X				
219000	Hill Country Memorial Hospital			X	X				X
221000	Scenic Mountain Medical Center				X				
228001	Southwest General Hospital				X				
229000	Houston Northwest Medical Center				X				
230000	Oakbend Medical Center		X	X	X	X			X
230001	Oakbend Medical Center		X	X	X	X			X
234000	Ballinger Memorial Hospital District				X				
235000	Texas Health Harris Methodist Hospital-Fort Worth				X				
239001	Care Regional Medical Center		X	X	X				
246000	Columbia Medical Center-McKinney		X	X	X				
247000	Shriners Hospital for Children-Galveston	X			X				C
248000	East Texas Medical Center Henderson				X	X			X
254000	Wise Regional Health System			X					
254001	Wise Regional Health System		X	X	X				X
255000	Methodist Dallas Medical Center	A			X	X			X
256000	Texas Health Harris Methodist Hospital-Stephenville				X				X
263000	University Medical Center of El Paso	X			X				X
266000	Sierra Medical Center				X				
282000	East Texas Medical Center-Mount Vernon				X				X
283000	Metropolitan Methodist Hospital				X				
285000	Baylor Medical Center-Waxahachie				X	X			
286000	Mother Frances Hospital				X				
287000	East Texas Medical Center-Trinity				X				
292000	East Texas Medical Center-Clarksville				X				
297000	Texas Health Presbyterian Hospital - WNJ	X	X		X				X
299001	CHRISTUS Hospital-St Mary				X				
300000	Baylor Medical Center-Irving				X				
301000	Doctors Hospital-Laredo		X	X	X				
302000	Memorial Hermann Memorial City Medical Center			X	X				X
303000	Texas Health Presbyterian Hospital-Kaufman				X				X
307000	Covenant Hospital-Levelland				X				
314001	Valley Baptist Medical Center-Brownsville				X				
315003	Dallas Regional Medical Center				X				
318000	Northwest Texas Hospital	X	X	X	X				X
319000	Del Sol Medical Center				X				
323000	Texas Health Harris Methodist Hospital Cleburne			X	X				X
331000	Baylor University Medical Center	A	X		X	X			X
332000	Cook Childrens Medical Center								C
334002	South Texas Regional Medical Center				X	X			
335000	University Medical Center-Brackenridge	X			X				
336001	Denton Regional Medical Center				X				
337001	West Houston Medical Center				X				
339001	CHRISTUS Santa Rosa Medical Center			X	X				
339002	CHRISTUS Santa Rosa Hospital-Westover Hills			X	X				
339003	CHRISTUS Santa Rose-Alamo Heights			X	X				
340000	Medical City Dallas Hospital				X				C
347000	Memorial Hermann Hospital	A		X	X				C
349001	Bayshore Medical Center		X	X	X		X		X
363000	Baylor All Saints Medical Center-Fort Worth		X	X	X				
369000	Little River Healthcare				X	X			
370000	Mission Regional Medical Center			X	X				
374000	East Texas Medical Center-Athens				X				
383000	Hill Regional Hospital			X	X				
384000	Lyndon B Johnson General Hospital	A			X				
389000	Baptist Hospitals of Southeast Texas			X	X				
390000	Park Plaza Hospital				X				
392000	Nacogdoches Medical Center				X				
393000	Starr County Memorial Hospital				X				
394000	Medical Center-Lewisville				X				X
396002	Nix Health Care System				X				
397000	Rollins Brooks Community Hospital				X	X			
397001	Metroplex Hospital				X				
398000	CHRISTUS Spohn Hospital Corpus Christi	X	X		X				
398001	CHRISTUS Spohn Hospital Corpus Christi-Shoreline			X	X				
398002	CHRISTUS Spohn Hospital Corpus Christi-South				X				X
400000	Valley Baptist Medical Center	X		X	X				X
401000	East Texas Medical Center-Fairfield				X				
405000	San Jacinto Methodist Hospital				X				
406000	Peterson Regional Medical Center				X				
407000	Memorial Hermann Southwest Hospital		X	X	X				X
409000	John Peter Smith Hospital	X	X		X	X			X
410000	East Texas Medical Center				X				
411000	East Texas Medical Center-Quitman				X				
416000	East Texas Medical Center-Jacksonville				X				
417000	United Regional Health Care System	X			X				X
422000	Texas Health Arlington Memorial Hospital			X	X				
424000	Lake Granbury Medical Center				X				
424500	Seton Smithville Regional Hospital				X				
425000	Odessa Regional Medical Center				X				
426000	El Campo Memorial Hospital				X	X			
429001	CHRISTUS Spohn Hospital-Beeville				X			X	
431000	Texas Health Presbyterian Hospital Dallas	X		X	X				X
433000	Connally Memorial Medical Center				X				
436000	Brazosport Regional Health System			X	X				
437000	North Hills Hospital				X				
438000	East Texas Medical Center-Pittsburg				X				
444001	CHRISTUS St Elizabeth Hospital				X				
446001	Mother Frances Hospital Winnsboro				X				
448001	UT Southwestern University Hospital-St Paul	A			X				
449000	Dallas Medical Center			X	X				
452000	Midland Memorial Hospital				X				
453000	DeTar Hospital-Navarro			X	X	X			
458001	East Houston Regional Medical Center		X	X	X				X
459000	Ben Taub General Hospital	A	X		X				
459001	Quentin Mease Community Hospital	A		X		X			
460000	Riverside General Hospital		X		X				
462000	Val Verde Regional Medical Center			X	X				
464002	Medical Center-Southeast Texas		X	X	X				X
465000	Covenant Medical Center			X	X				
466000	Memorial Medical Center-Livingston				X				
469000	Texas Health Harris Methodist Hospital Azle			X	X				
474000	Parkland Memorial Hospital	A			X				
476000	Scott & White Hospital Llano			X	X				
477000	Plaza Medical Center-Fort Worth	X		X	X				
478000	Nacogdoches Memorial Hospital			X	X				
480000	Knapp Medical Center				X				X
481000	Woodland Heights Medical Center				X				
484000	East Texas Medical Center-Carthage				X				
488000	Driscoll Childrens Hospital				X				C
490000	Electra Memorial Hospital				X				
495001	Comanche County Medical Center				X	X			
497000	Seton Medical Center				X				
500000	Hendrick Medical Center			X	X	X			X
502000	Medical Center-Arlington				X				
503001	St Lukes Baptist Hospital		X		X	X			
505000	Parkview Regional Hospital				X				
506000	Hillcrest Baptist Medical Center			X	X	X			X
508001	Conroe Regional Medical Center	X			X				X
511000	Doctors Hospital-White Rock Lake				X				
513000	Baylor Regional Medical Center-Grapevine				X				
522000	Sabine County Hospital				X	X			
525000	Longview Regional Medical Center				X	X			
526000	Shriners Hospitals for Children				X				C
534001	Memorial Hermann Katy Hospital			X	X				X
537000	Scott & White Memorial Hospital	A			X				X
537003	Scott & White Memorial Hospital-SNF					X			
537005	Scott & White Memorial Hospital-Psych		X						
537006	McLane Childrens Hospital Scott & White	X			X				C
547001	Fort Duncan Regional Medical Center			X	X				
549000	Methodist Richardson Medical Center				X				
556000	Central Texas Medical Center				X				
559000	Seton Highland Lakes Hospital				X				
560000	Rice Medical Center				X				
574001	Palacios Community Medical Center				X	X			
586000	Baylor Specialty Hospital						X		
597000	Seton Edgar B Davis Hospital				X				
600001	CHRISTUS St John Hospital			X	X				
601000	Rio Grande Regional Hospital				X				
602000	St Davids South Austin Hospital				X	X			
606000	Cypress Fairbanks Medical Center			X	X				X
608000	Round Rock Medical Center				X	X			
609001	Memorial Hermann Sugar Land			X	X				X
615000	Memorial Hermann The Woodlands Hospital			X	X				X
