,Date,AveragePrice,TotalValue,c4046,c4225,c4770,TotalBags,SmallBags,LargeBags,XLargeBags,type,year,region
0,27-12-2015,1.33,64236.6,1036.74,54454.9,48.16,8696.87,8603.62,93.25,0.0,Conventional,2015,Albany
1,20-12-2015,1.35,54877.0,674.28,44638.8,58.33,9505.56,9408.07,97.49,0.0,Conventional,2015,Albany
2,13-12-2015,0.93,118220.0,794.7,109150.0,130.5,8145.35,8042.21,103.14,0.0,Conventional,2015,Albany
3,06-12-2015,1.08,78992.1,1132.0,71976.4,72.58,5811.16,5677.4,133.76,0.0,Conventional,2015,Albany
4,29-11-2015,1.28,51039.6,941.48,43838.4,75.78,6183.95,5986.26,197.69,0.0,Conventional,2015,Albany
5,22-11-2015,1.26,55979.8,1184.27,48068.0,43.61,6683.91,6556.47,127.44,0.0,Conventional,2015,Albany
6,15-11-2015,0.99,83453.8,1368.92,73672.7,93.26,8318.86,8196.81,122.05,0.0,Conventional,2015,Albany
7,08-11-2015,0.98,109428.0,703.75,101815.0,80.0,6829.22,6266.85,562.37,0.0,Conventional,2015,Albany
8,01-11-2015,1.02,99811.4,1022.15,87315.6,85.34,11388.4,11104.5,283.83,0.0,Conventional,2015,Albany
9,25-10-2015,1.07,74338.8,842.4,64757.4,113.0,8625.92,8061.47,564.45,0.0,Conventional,2015,Albany
10,18-10-2015,1.12,84843.4,924.86,75595.9,117.07,8205.66,7877.86,327.8,0.0,Conventional,2015,Albany
11,11-10-2015,1.28,64489.2,1582.03,52677.9,105.32,10123.9,9866.27,257.63,0.0,Conventional,2015,Albany
12,04-10-2015,1.31,61007.1,2268.32,49880.7,101.36,8756.75,8379.98,376.77,0.0,Conventional,2015,Albany
13,27-09-2015,0.99,106803.0,1204.88,99409.2,154.84,6034.46,5888.87,145.59,0.0,Conventional,2015,Albany
14,20-09-2015,1.33,69759.0,1028.03,59313.1,150.5,9267.36,8489.1,778.26,0.0,Conventional,2015,Albany
15,13-09-2015,1.28,76111.3,985.73,65696.9,142.0,9286.68,8665.19,621.49,0.0,Conventional,2015,Albany
16,06-09-2015,1.11,99173.0,879.45,90062.6,240.79,7990.1,7762.87,227.23,0.0,Conventional,2015,Albany
17,30-08-2015,1.07,105694.0,689.01,94362.7,335.43,10306.7,10218.9,87.8,0.0,Conventional,2015,Albany
18,23-08-2015,1.34,79992.1,733.16,67933.8,444.78,10880.4,10745.8,134.57,0.0,Conventional,2015,Albany
19,16-08-2015,1.33,80043.8,539.65,68666.0,394.9,10443.2,10297.7,145.54,0.0,Conventional,2015,Albany
20,09-08-2015,1.12,111141.0,584.63,100961.0,368.95,9225.89,9116.34,109.55,0.0,Conventional,2015,Albany
21,02-08-2015,1.45,75133.1,509.94,62035.1,741.08,11847.0,11768.5,78.5,0.0,Conventional,2015,Albany
22,26-07-2015,1.11,106757.0,648.75,91949.0,966.61,13192.7,13061.5,131.16,0.0,Conventional,2015,Albany
23,19-07-2015,1.26,96617.0,1042.1,82049.4,2238.02,11287.5,11103.5,183.99,0.0,Conventional,2015,Albany
24,12-07-2015,1.05,124055.0,672.25,94693.5,4257.64,24431.9,24290.1,108.49,33.33,Conventional,2015,Albany
